csm_id,name,region,segment
CSM-001,Allison Hill,AMER,Enterprise
CSM-002,Noah Rhodes,APAC,Enterprise
CSM-003,Angie Henderson,EMEA,Enterprise
CSM-004,Daniel Wagner,AMER,Enterprise
CSM-005,Cristian Santos,LATAM,Enterprise
CSM-006,Connie Lawrence,AMER,Enterprise
CSM-007,Abigail Shaffer,EMEA,Enterprise
CSM-008,Gina Moore,AMER,Enterprise
CSM-009,Gabrielle Davis,LATAM,Enterprise
CSM-010,Ryan Munoz,LATAM,Mid-Market
CSM-011,Monica Herrera,AMER,Enterprise
CSM-012,Jamie Arnold,LATAM,Mid-Market
CSM-013,Lisa Hensley,APAC,Enterprise
CSM-014,Michele Williams,EMEA,Mid-Market
CSM-015,Dylan Miller,AMER,Enterprise
CSM-016,Brian Ramirez,LATAM,Enterprise
CSM-017,Holly Wood,APAC,Mid-Market
CSM-018,Derek Zuniga,APAC,Enterprise
CSM-019,Lisa Jackson,LATAM,Enterprise
CSM-020,Carla Gray,LATAM,Enterprise
CSM-021,Margaret Hawkins DDS,APAC,Mid-Market
CSM-022,Patty Perez,EMEA,Enterprise
CSM-023,Ethan Adams,AMER,Enterprise
CSM-024,Tommy Walter,APAC,Enterprise
CSM-025,Matthew Foster,EMEA,Enterprise
CSM-026,Judy Baker,LATAM,Mid-Market
CSM-027,Justin Baker,LATAM,Mid-Market
CSM-028,Stephanie Ross,EMEA,Mid-Market
CSM-029,Zachary Hicks,APAC,Enterprise
CSM-030,Anthony Rodriguez,APAC,Enterprise
CSM-031,Rebecca Henderson,EMEA,Enterprise
CSM-032,James Ferrell,EMEA,Mid-Market
CSM-033,Tricia Valencia,LATAM,Mid-Market
CSM-034,Nathan Maldonado,EMEA,Mid-Market
CSM-035,Debra Davidson,AMER,Enterprise
CSM-036,Jeffrey Chavez,AMER,Mid-Market
CSM-037,Sherri Baker,LATAM,Mid-Market
CSM-038,Cassandra Gaines,AMER,Enterprise
CSM-039,Elizabeth Fowler,APAC,Enterprise
CSM-040,Brittany Farmer,LATAM,Mid-Market
CSM-041,Paula Moreno,LATAM,Enterprise
CSM-042,Fred Smith,APAC,Enterprise
CSM-043,Sherry Decker,EMEA,Mid-Market
CSM-044,Anthony Humphrey,LATAM,Mid-Market
CSM-045,Angelica Tucker,APAC,Enterprise
CSM-046,Philip Cannon,EMEA,Mid-Market
CSM-047,John Pierce,AMER,Enterprise
CSM-048,Shane Henderson,AMER,Enterprise
CSM-049,Joshua Blair,EMEA,Mid-Market
CSM-050,Eric Carney,AMER,Mid-Market
